api,segment,row_count,data_sha256,cache_hit,cache_root
daily_basic,20100104,1632,4037da1ed6e83a728867e90d9f15f94238e0bb8825296022e54a90f48b3caa00,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100104,834,0d6a82e26bbe04f586a558b34e0422b4f0ed6c1b9941baa122ce8eff06b942ef,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100105,1630,aa1cea2cfafc1e72f9056ef0a5207f54e4ed04c5203019d129952fa7a7c208a7,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100105,1627,6cd61bd267aca876e3a653ad99dae1099a0198fb1a85cd176b0c04abd1147fc7,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100106,1631,43ae88454131977aecbc8ce5e0c37e441e5e1774748890b19a5564e7b507bcc8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100106,1628,cfd134b2596455fbd5804a51a3ed0230eeb317be9e404406ce05b5ce996a6c1a,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100107,1629,73626a9a19b99d1866022162cba871463431c0d79980ece3323cad00d9536d3f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100107,1626,4cbf57067b300322409c4ff247bd6fa8dcade4e3fb09ec6261544ec48d16b833,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100108,1625,07afdbb5aeec77ff8d58f1669ce3d9adb4186878ec454de44b4a434e5771fec8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100108,1622,d7c5186b919b159e2153f48b4247ece644c7230c07ffacfba24d99ba6815476a,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100111,1629,fa92464ce57d340b817b191f4fb76de3aef93405407dddf2b67fcb202342ffee,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100111,1626,c4efd24130d84ee6fe45e460971d18ded2583c2be1946060a8a6d7511057a60a,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100112,1640,099b630700bd793694a388d09e7de0590e4764ac25c3eb1b0043205df49513be,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100112,1637,daab61b98d6c734ea153748a586c6260a8e8b1f40bae2d572260dd430867ee8b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100113,1645,f9d7aa2da57ff2c057cdf678a211f0006469d37e28fff1f28d5a510ec83beb24,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100113,1642,2a1f1c235d8f9eca0ad0e1f6636fa60e2063e6d6b6ebca1ab30efa5f9495c307,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100114,1645,849cc049f65b7748cb0ddfe068200938e486fd58d267cd4e7c949715e8d32abc,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100114,1642,9a1352531b797d6f9623298d92614d8f91361382cf177ce094907ed72e7ce55e,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100115,1616,0e5a2d1a0c6c41403c90045c41fce4f15eecfa0e85e2955649d3af5b069e023b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100115,1613,048c48e0e71b8218dd858832b3bdb4c11faa1d799da323ded7e610f53ca87512,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100118,1648,4d071abd1353198503c298a8d3eb18dd16920d3cd7237846bedacba190a2481d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100118,1645,c61b812f5b33646424bcd397a5d50515727557004e6c53a9ade12fd2e4383fd8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100119,1641,37a24c489c87ec6f247b46dacf965cddad858d7f313805e556853d46a8a80627,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
