ts_code,name,list_date,delist_date,list_status,status_cohort,listing_cohort
002024.SZ,ST易购,2004-07-21,,L,listed,2000_2004
600022.SH,山东钢铁,2004-06-29,,L,listed,2000_2004
600345.SH,长江通信,2000-12-22,,L,listed,2000_2004
600444.SH,国机通用,2004-02-19,,L,listed,2000_2004
002099.SZ,海翔药业,2006-12-26,,L,listed,2005_2009
002322.SZ,理工能科,2009-12-18,,L,listed,2005_2009
601766.SH,中国中车,2008-08-18,,L,listed,2005_2009
601998.SH,中信银行,2007-04-27,,L,listed,2005_2009
002449.SZ,国星光电,2010-07-16,,L,listed,2010_2014
002679.SZ,福建金森,2012-06-05,,L,listed,2010_2014
002733.SZ,雄韬股份,2014-12-03,,L,listed,2010_2014
603588.SH,高能环境,2014-12-29,,L,listed,2010_2014
300443.SZ,金雷股份,2015-04-22,,L,listed,2015_2017
300507.SZ,苏奥传感,2016-04-29,,L,listed,2015_2017
603779.SH,威龙股份,2016-05-16,,L,listed,2015_2017
603989.SH,艾华集团,2015-05-15,,L,listed,2015_2017
300838.SZ,浙江力诺,2020-06-08,,L,listed,2018_2020
601816.SH,京沪高铁,2020-01-16,,L,listed,2018_2020
603353.SH,和顺石油,2020-04-07,,L,listed,2018_2020
605178.SH,时空科技,2020-08-21,,L,listed,2018_2020
301073.SZ,君亭酒店,2021-09-30,,L,listed,2021_plus
688232.SH,新点软件,2021-11-17,,L,listed,2021_plus
920111.BJ,聚星科技,2024-11-11,,L,listed,2021_plus
920267.BJ,鑫汇科,2022-05-27,,L,listed,2021_plus
000552.SZ,甘肃能化,1994-01-06,,L,listed,pre_2000
000605.SZ,渤海股份,1996-09-13,,L,listed,pre_2000
000815.SZ,美利云,1998-06-09,,L,listed,pre_2000
000915.SZ,华特达因,1999-06-09,,L,listed,pre_2000
