api,parameters,status,row_count,columns,elapsed_seconds,error
stock_basic,"{""exchange"": """", ""fields"": ""ts_code,name,list_date,delist_date,list_status"", ""list_status"": """"}",accessible_nonempty,5551,"ts_code,name,list_date,delist_date,list_status",0.19,
daily_basic,"{""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""trade_date"": ""20100104""}",accessible_nonempty,1632,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0.139,
moneyflow,"{""fields"": ""ts_code,trade_date,net_mf_amount"", ""trade_date"": ""20100104""}",accessible_nonempty,834,"ts_code,trade_date,net_mf_amount",0.096,
daily_basic,"{""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""trade_date"": ""20100401""}",accessible_nonempty,1725,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0.139,
moneyflow,"{""fields"": ""ts_code,trade_date,net_mf_amount"", ""trade_date"": ""20100401""}",accessible_nonempty,1723,"ts_code,trade_date,net_mf_amount",0.091,
daily_basic,"{""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""trade_date"": ""20100701""}",accessible_nonempty,1807,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0.125,
moneyflow,"{""fields"": ""ts_code,trade_date,net_mf_amount"", ""trade_date"": ""20100701""}",accessible_nonempty,1805,"ts_code,trade_date,net_mf_amount",0.097,
daily_basic,"{""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""trade_date"": ""20101008""}",accessible_nonempty,1877,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0.162,
moneyflow,"{""fields"": ""ts_code,trade_date,net_mf_amount"", ""trade_date"": ""20101008""}",accessible_nonempty,1874,"ts_code,trade_date,net_mf_amount",0.478,
daily_basic,"{""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""trade_date"": ""20110104""}",accessible_nonempty,1970,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0.14,
