year,arm,dates,universe_rows,columns,finite_cells,cells,infinite_cells,finite_rate
2010,C,1,1544,201,282263,310344,0,0.9095165364885416
2010,H,1,1544,358,510882,552752,0,0.9242517440009262
2010,R,1,1544,218,308151,336592,0,0.9155030422588772
2012,C,1,2000,201,369415,402000,0,0.9189427860696516
2012,H,1,2000,358,666977,716000,0,0.931532122905028
2012,R,1,2000,218,402737,436000,0,0.9237087155963304
2014,C,1,2000,201,359375,402000,0,0.8939676616915423
2014,H,1,2000,358,646314,716000,0,0.9026731843575418
2014,R,1,2000,218,391877,436000,0,0.8988004587155963
2015,C,1,2000,201,358882,402000,0,0.8927412935323383
2015,H,1,2000,358,645915,716000,0,0.9021159217877096
2015,R,1,2000,218,391546,436000,0,0.8980412844036697
2016,C,1,2000,201,363113,402000,0,0.9032661691542287
2016,H,1,2000,358,653678,716000,0,0.9129581005586592
2016,R,1,2000,218,395623,436000,0,0.9073922018348624
2017,C,1,2000,201,376891,402000,0,0.9375398009950248
2017,H,1,2000,358,676708,716000,0,0.945122905027933
2017,R,1,2000,218,410106,436000,0,0.9406100917431192
2018,C,1,2000,201,373125,402000,0,0.9281716417910448
2018,H,1,2000,358,670534,716000,0,0.9365
2018,R,1,2000,218,406256,436000,0,0.9317798165137616
2019,C,1,2000,201,388047,402000,0,0.9652910447761194
2019,H,1,2000,358,696178,716000,0,0.9723156424581004
2019,R,1,2000,218,421849,436000,0,0.9675435779816514
2020,C,1,2000,201,393570,402000,0,0.9790298507462688
2020,H,1,2000,358,704851,716000,0,0.9844287709497208
2020,R,1,2000,218,427542,436000,0,0.9806009174311928
2021,C,1,2000,201,388955,402000,0,0.9675497512437812
2021,H,1,2000,358,697316,716000,0,0.9739050279329609
2021,R,1,2000,218,422786,436000,0,0.9696926605504588
2022,C,1,2000,201,395959,402000,0,0.9849726368159204
2022,H,1,2000,358,707279,716000,0,0.9878198324022346
2022,R,1,2000,218,429915,436000,0,0.9860435779816514
2023,C,1,2000,201,397538,402000,0,0.9889004975124378
2023,H,1,2000,358,709635,716000,0,0.9911103351955308
2023,R,1,2000,218,431530,436000,0,0.9897477064220184
