factor,signal_era,parity_status,max_rank_ic_difference,native_status,reason,sequential_replay,wall_seconds,rss_bytes
alpha158_BETA20,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.59757229999741,348381184.0
alpha158_CORR20,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.523214900000312,355643392.0
alpha158_ROC20,A,pass,1.3877787807814457e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.608994900001562,351956992.0
alpha158_VSTD20,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.563856400000077,356376576.0
alpha360_CLOSE1,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.784020099999907,356966400.0
alpha360_VOLUME1,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.795858699999371,360263680.0
alpha360_VWAP1,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.719665600001463,358285312.0
amount_mean_20,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.651153200000408,344379392.0
kunquant_alpha101_alpha005,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.828525699998863,366374912.0
kunquant_alpha101_alpha005_canonical_vwap_v2,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.718829999997979,374022144.0
kunquant_alpha101_alpha015,A,pass,1.3877787807814457e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.753241700000217,367312896.0
kunquant_alpha101_alpha017,A,pass,1.3877787807814457e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.791347700000188,367443968.0
mature_amihud_illiquidity_20,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.729252100001759,373866496.0
