factor,period,parity_status,max_ic_difference,native_status,wall_seconds,peak_working_set_bytes
alpha158_BETA20,long_2010,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",10.69638649999979,981385216
alpha158_BETA20,long_2011,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.484638600002654,981385216
alpha158_BETA20,long_2012,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.324656999997387,981385216
alpha158_BETA20,long_2013,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.116014300001552,981385216
alpha158_BETA20,long_2014,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.692036399999779,981385216
alpha158_BETA20,long_2015,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.318992299999081,992702464
alpha158_BETA20,long_2016,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.862860900000669,1000308736
alpha158_BETA20,long_2017,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.405988000002253,1016053760
alpha158_BETA20,long_2018,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.257026600000245,1016053760
alpha158_BETA20,long_2019,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.209261199997854,1016053760
alpha158_BETA20,long_2020,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.891306199999235,1016053760
alpha158_BETA20,long_2021,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.375808000000688,1016053760
alpha158_BETA20,long_2022,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.169068999999581,1016053760
alpha158_BETA20,long_2023,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.218030399999407,1016053760
alpha360_CLOSE1,long_2010,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",10.753850199998851,1016053760
alpha360_CLOSE1,long_2011,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.56465450000178,1016053760
alpha360_CLOSE1,long_2012,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.884777600000234,1016053760
alpha360_CLOSE1,long_2013,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.723003200000676,1016053760
alpha360_CLOSE1,long_2014,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.118381399999635,1016053760
alpha360_CLOSE1,long_2015,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.709810599997581,1016053760
alpha360_CLOSE1,long_2016,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.0389972999983,1016053760
alpha360_CLOSE1,long_2017,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",16.418619600000966,1019564032
alpha360_CLOSE1,long_2018,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",15.390757099998154,1019564032
alpha360_CLOSE1,long_2019,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",15.251150500000222,1019564032
alpha360_CLOSE1,long_2020,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",15.159460700000636,1019564032
alpha360_CLOSE1,long_2021,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.759789600000659,1019564032
alpha360_CLOSE1,long_2022,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",16.40101429999777,1019564032
alpha360_CLOSE1,long_2023,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.429486600001837,1019564032
kunquant_alpha101_alpha015,long_2010,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",10.199177700000291,1027788800
kunquant_alpha101_alpha015,long_2011,pass,1.3877787807814457e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.194111500000872,1027788800
kunquant_alpha101_alpha015,long_2012,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.462597000001551,1027788800
kunquant_alpha101_alpha015,long_2013,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.898349800001597,1027788800
kunquant_alpha101_alpha015,long_2014,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.957677099999273,1027788800
kunquant_alpha101_alpha015,long_2015,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.080873200000497,1027788800
kunquant_alpha101_alpha015,long_2016,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.887616300002264,1027788800
kunquant_alpha101_alpha015,long_2017,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.0726966000002,1034657792
kunquant_alpha101_alpha015,long_2018,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.983998899999278,1034657792
kunquant_alpha101_alpha015,long_2019,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.58365920000142,1034657792
kunquant_alpha101_alpha015,long_2020,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.54344459999993,1034657792
kunquant_alpha101_alpha015,long_2021,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.737448299998505,1034657792
kunquant_alpha101_alpha015,long_2022,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.513581499999418,1034657792
kunquant_alpha101_alpha015,long_2023,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.801472499999363,1034657792
mature_book_to_market_pit,long_2010,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",10.014331300000777,1034657792
mature_book_to_market_pit,long_2011,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.002878100000089,1034657792
mature_book_to_market_pit,long_2012,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.151794299999892,1034657792
mature_book_to_market_pit,long_2013,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.833686199999647,1034657792
mature_book_to_market_pit,long_2014,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.964720700001635,1034657792
mature_book_to_market_pit,long_2015,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.045042900001135,1034657792
mature_book_to_market_pit,long_2016,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.646832099999301,1034657792
mature_book_to_market_pit,long_2017,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.14652500000011,1036165120
mature_book_to_market_pit,long_2018,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.810540900001797,1036165120
mature_book_to_market_pit,long_2019,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.788350099999661,1036165120
mature_book_to_market_pit,long_2020,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.876264300000912,1036165120
mature_book_to_market_pit,long_2021,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.666643299999123,1036165120
mature_book_to_market_pit,long_2022,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.622616499997093,1036165120
mature_book_to_market_pit,long_2023,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.836032499999419,1036165120
rev_5,long_2010,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",9.001103900001908,590512128
rev_5,long_2011,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",11.48853980000058,835186688
rev_5,long_2012,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.84537199999977,923607040
rev_5,long_2013,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.156198700002278,924209152
rev_5,long_2014,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.04999410000164,935972864
rev_5,long_2015,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",12.386150800000905,951648256
rev_5,long_2016,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.548657999999705,964517888
rev_5,long_2017,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.528348699997878,977973248
rev_5,long_2018,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.94685649999883,977973248
rev_5,long_2019,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.492281200000434,977973248
rev_5,long_2020,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.054032899999584,977973248
rev_5,long_2021,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.920321999998123,981385216
rev_5,long_2022,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.652307700001984,981385216
rev_5,long_2023,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.890085700000782,981385216
ta_momentum_kama,long_2010,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",10.911954500003048,1019564032
ta_momentum_kama,long_2011,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.41093329999785,1019564032
ta_momentum_kama,long_2012,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.71581569999762,1019564032
ta_momentum_kama,long_2013,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.184024099999078,1019564032
ta_momentum_kama,long_2014,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.616324999999051,1019564032
ta_momentum_kama,long_2015,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.154262899999594,1019564032
ta_momentum_kama,long_2016,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",15.597313900001609,1019564032
ta_momentum_kama,long_2017,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.974482400000852,1027305472
ta_momentum_kama,long_2018,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.170795899997756,1027788800
ta_momentum_kama,long_2019,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.735066699999152,1027788800
ta_momentum_kama,long_2020,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.475125099997967,1027788800
ta_momentum_kama,long_2021,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.616150000001653,1027788800
ta_momentum_kama,long_2022,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",14.666313800000353,1027788800
ta_momentum_kama,long_2023,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",13.698991400000523,1027788800
