factor,source,canonical_factor_id,economic_family,economic_subfamily,agreement,pass_count,analysis_direction,qlib_ic__mean,annual_direction_agreement,worst_directional_era_mean,fdr_by_q_value,ic_sample_coverage,quantile_dates,alphalens_quantile_monotonicity_raw,alphalens_q1__mean,alphalens_q2__mean,alphalens_q3__mean,alphalens_q4__mean,alphalens_q5__mean,era_A_mean_raw,era_B_mean_raw,era_C_mean_raw,era_D_mean_raw,alphalens_reasons,jqfactor_reasons,qlib_reasons,direction_instability,regime_concentrated,low_sample_coverage,by_sensitivity_not_significant,review_recommendation,structural_group_hint,existing_flags,opposite_annual_periods,review_notes,reviewer,user_decision,scope,basis_rule_id
alpha158_BETA10,alpha158,70156355e3335f136d17f59dd547a1059c1748dcdb001ab9605363898e8c374b,VolatilityRisk,RollingRiskOrPriceState,2/3,2,-1.0,-0.033228874524806704,1.0,0.02721696916412472,0.0090427193914192,0.946829862652892,3361,-0.39999999999999997,0.006886800574075186,0.009590419502544556,0.009563817902859326,0.008041264276692944,0.0004950471071241871,-0.02721696916412472,-0.047458948524486406,-0.029498844051963624,-0.032490505081043966,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,False,False,False,False,保留分歧审阅,alpha158_BETA,none_of_four_existing_flags,,"实际公式为Slope(close,n)/close，是价格斜率，不是市场回归Beta；原经济分类仅保留为历史元数据。 需区分风险暴露与独立Alpha；家族名不能替代公式审查。",Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_BETA20,alpha158,0c44a08c3d282b27388e6828d175a7ec64ccfdcc402ca6112839fdb12d178453,VolatilityRisk,RollingRiskOrPriceState,3/3,3,-1.0,-0.053233792991443395,1.0,0.041319668203425385,0.0090427193914192,0.9470399068894813,3361,-0.8999999999999998,0.009476167182347577,0.010002291811551352,0.009212619753219768,0.006446985307631233,-0.0005708393875042807,-0.04726838692877415,-0.07170479226765515,-0.041319668203425385,-0.05648204944729405,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_BETA,none_of_four_existing_flags,,"实际公式为Slope(close,n)/close，是价格斜率，不是市场回归Beta；原经济分类仅保留为历史元数据。 需区分风险暴露与独立Alpha；家族名不能替代公式审查。",Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_BETA30,alpha158,8d41e6bf2259e65bd6b6a51f02b2f6a81d33d391162b050ec948f6201acdfefb,VolatilityRisk,RollingRiskOrPriceState,3/3,3,-1.0,-0.060921736518085044,1.0,0.03757939647950226,0.0090427193914192,0.9471200752885836,3361,-0.9999999999999999,0.01085854583708858,0.009850542024416056,0.008316080189950784,0.005695870754247267,-0.00017268516669480055,-0.05925468562683259,-0.07125731020390319,-0.03757939647950226,-0.07715836541810027,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_BETA,none_of_four_existing_flags,,"实际公式为Slope(close,n)/close，是价格斜率，不是市场回归Beta；原经济分类仅保留为历史元数据。 需区分风险暴露与独立Alpha；家族名不能替代公式审查。",Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_BETA5,alpha158,0e8a43f6ba7c61cca27c0bd17140ecd84b6634744065e132e2a14fb110a75e01,VolatilityRisk,RollingRiskOrPriceState,2/3,2,-1.0,-0.0249176791804356,1.0,0.01894897630684984,0.0090427193914192,0.946425383527743,3361,-0.3,0.006376419065219121,0.009141588424726205,0.009510163048617818,0.008665758529550628,0.0008980985069577829,-0.027332137633341254,-0.032178432348914474,-0.01894897630684984,-0.019481181792439323,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,False,False,False,False,保留分歧审阅,alpha158_BETA,none_of_four_existing_flags,,"实际公式为Slope(close,n)/close，是价格斜率，不是市场回归Beta；原经济分类仅保留为历史元数据。 需区分风险暴露与独立Alpha；家族名不能替代公式审查。",Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_BETA60,alpha158,49ff2236c58d111191e420492ee738c9377090b59c07b1745cb673f1f8bf4f2b,VolatilityRisk,RollingRiskOrPriceState,3/3,3,-1.0,-0.05052028213060663,0.7857142857142857,0.011586278696484917,0.0090427193914192,0.9472413129431805,3361,-0.9999999999999999,0.009550174099596543,0.008891554607514772,0.007838220226599782,0.006049298119222654,0.0022413586589309373,-0.05754408418846611,-0.057665287083467805,-0.011586278696484917,-0.07150085298951328,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_BETA,none_of_four_existing_flags,2013;2017;2020,"实际公式为Slope(close,n)/close，是价格斜率，不是市场回归Beta；原经济分类仅保留为历史元数据。 需区分风险暴露与独立Alpha；家族名不能替代公式审查。",Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTD10,alpha158,776ef693884168bc543fd6e43a800899dd906e4c4efa8e7cb57ec58246b46f46,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.009945008196850246,0.7857142857142857,-0.005305435348369202,0.5312917852069007,0.9506877963692354,2063,0.3,0.0026204719637828444,0.004219107167048548,0.004672115356677696,0.004466462273760007,0.0035197793621321825,0.005305435348369202,-0.01615576218101687,-0.021101538933346407,-0.0177399654141231,absolute_mean_rank_ic_002;primary_BH_q_005;positive_directional_quantile_spread;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;primary_BH_q_005;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;primary_BH_q_005,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTD,direction_instability;by_sensitivity_not_significant,2012;2013;2014,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTD20,alpha158,b40d8274a27123d2c301551329252b33f6eeddee854dd060f845734c1fc47db7,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.017907727340893125,0.8571428571428571,0.0001032785856668178,0.0580637771449027,0.9506877963692354,3313,-0.7,0.006090106549574905,0.00652005509533428,0.006438813113511283,0.00542586994241573,0.0034472027236631246,-0.0001032785856668178,-0.023547636629203974,-0.02858665389250664,-0.031104154229368443,absolute_mean_rank_ic_002;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002,False,False,False,True,当前20D候选研究不优先推进,alpha158_CNTD,by_sensitivity_not_significant,2013;2014,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTD30,alpha158,020133026444b84cbba943b319e5522d2f26282181b875ad4c653199f68872fc,MomentumTrend,TechnicalTrend,2/3,2,-1.0,-0.020186969529958926,0.7857142857142857,0.0017242603572364063,0.0338408517102194,0.9506877963692354,3355,-0.9999999999999999,0.007386299526535944,0.007336862384750051,0.007041801088511867,0.00656891661074917,0.004388298612450564,-0.0017242603572364063,-0.0194920639016704,-0.026595773866977507,-0.045479116551122675,all_conditions_pass,weighted_return_annual_agreement_060,all_conditions_pass,False,False,False,False,保留分歧审阅,alpha158_CNTD,none_of_four_existing_flags,2013;2014;2016,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTD5,alpha158,b502353ab3e796dfe81b5e7904b286a4527cb180da0831e6322a2af0873f3760,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.007966632138930136,0.7142857142857143,-0.0007983080441716398,0.4412847063012611,0.9506877963692354,474,0.09999999999999999,0.0018433711940556757,0.004440490684957779,0.0035125269718580053,0.0036088867651376043,0.002986915687379468,0.0007983080441716398,-0.012603783923168556,-0.013579690095161136,-0.012165847754127393,absolute_mean_rank_ic_002;primary_BH_q_005;minimum_1260_quantile_dates;positive_directional_quantile_spread;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;primary_BH_q_005;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;primary_BH_q_005,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTD,direction_instability;by_sensitivity_not_significant,2013;2014;2017;2021,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTD60,alpha158,247f62f413a8c997aec70a92cff68fb1f80f7d1ed33eab05b30823ddf2bf8dbc,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.01754220921330507,0.6428571428571429,0.0012398096695100556,0.1946844292505563,0.9506877963692354,3361,-0.09999999999999999,0.007102043533217613,0.00719073870958725,0.0075076224125895765,0.007265388380994783,0.005338054945013828,-0.0012398096695100556,-0.02053455284555043,-0.01953053200451505,-0.039931573914948934,absolute_mean_rank_ic_002;annual_ic_agreement_070;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;annual_ic_agreement_070;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;annual_ic_agreement_070,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTD,direction_instability;by_sensitivity_not_significant,2010;2013;2016;2020;2023,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
