proxy_factor,direct_vwap_factor,proxy_agreement,direct_agreement,proxy_ic,direct_ic,proxy_direction,direct_direction
kunquant_alpha101_alpha005,kunquant_alpha101_alpha005_canonical_vwap_v2,3/3,0/3,0.02676199478084796,0.004140184877501783,1.0,1.0
kunquant_alpha101_alpha011,kunquant_alpha101_alpha011_canonical_vwap_v2,2/3,2/3,0.025523006330821975,0.0222752893261258,1.0,1.0
kunquant_alpha101_alpha025,kunquant_alpha101_alpha025_canonical_vwap_v2,0/3,0/3,0.009070266138565023,0.009070267544491051,1.0,1.0
kunquant_alpha101_alpha041,kunquant_alpha101_alpha041_canonical_vwap_v2,3/3,0/3,-0.026721679837764918,0.002674542347554011,-1.0,1.0
kunquant_alpha101_alpha042,kunquant_alpha101_alpha042_canonical_vwap_v2,3/3,3/3,0.02715974880688928,0.03594670500522746,1.0,1.0
kunquant_alpha101_alpha047,kunquant_alpha101_alpha047_canonical_vwap_v2,0/3,0/3,-0.0007842820098305776,-0.000543141633797567,-1.0,-1.0
kunquant_alpha101_alpha050,kunquant_alpha101_alpha050_canonical_vwap_v2,3/3,3/3,0.04529285828309944,0.04529171513009858,1.0,1.0
kunquant_alpha101_alpha057,kunquant_alpha101_alpha057_canonical_vwap_v2,0/3,0/3,-0.004064530809881987,0.012113779357889437,-1.0,1.0
kunquant_alpha101_alpha061,kunquant_alpha101_alpha061_canonical_vwap_v2,incomplete,incomplete,0.014256513678720857,0.014718358645482661,1.0,1.0
kunquant_alpha101_alpha062,kunquant_alpha101_alpha062_canonical_vwap_v2,incomplete,incomplete,0.0012401179878141315,0.001240147510800002,1.0,1.0
kunquant_alpha101_alpha064,kunquant_alpha101_alpha064_canonical_vwap_v2,incomplete,incomplete,-0.0076622016123781625,-0.007217463620898793,-1.0,-1.0
kunquant_alpha101_alpha065,kunquant_alpha101_alpha065_canonical_vwap_v2,incomplete,incomplete,0.008726156930090717,0.008685358303826655,1.0,1.0
kunquant_alpha101_alpha066,kunquant_alpha101_alpha066_canonical_vwap_v2,0/3,0/3,0.0054222466180987375,0.006386743015796346,1.0,1.0
kunquant_alpha101_alpha071,kunquant_alpha101_alpha071_canonical_vwap_v2,incomplete,0/3,-0.022051083960419018,0.018239154287421497,-1.0,1.0
kunquant_alpha101_alpha072,kunquant_alpha101_alpha072_canonical_vwap_v2,0/3,0/3,0.01227232911871562,0.012272830635227718,1.0,1.0
kunquant_alpha101_alpha073,kunquant_alpha101_alpha073_canonical_vwap_v2,0/3,0/3,-0.00997252122459429,-0.00997252122459429,-1.0,-1.0
kunquant_alpha101_alpha074,kunquant_alpha101_alpha074_canonical_vwap_v2,incomplete,incomplete,0.011807415792300087,0.011776900421021705,1.0,1.0
kunquant_alpha101_alpha075,kunquant_alpha101_alpha075_canonical_vwap_v2,incomplete,incomplete,0.01566917531594808,0.015669838360085675,1.0,1.0
kunquant_alpha101_alpha077,kunquant_alpha101_alpha077_canonical_vwap_v2,3/3,0/3,-0.026118673855586756,0.008440176306311411,-1.0,1.0
kunquant_alpha101_alpha078,kunquant_alpha101_alpha078_canonical_vwap_v2,0/3,0/3,0.009598347594046775,0.009775271242563515,1.0,1.0
kunquant_alpha101_alpha081,kunquant_alpha101_alpha081_canonical_vwap_v2,incomplete,incomplete,0.008171449527293257,0.008218202473535273,1.0,1.0
kunquant_alpha101_alpha083,kunquant_alpha101_alpha083_canonical_vwap_v2,3/3,0/3,0.06816337445742433,0.015437263426215308,1.0,1.0
kunquant_alpha101_alpha084,kunquant_alpha101_alpha084_canonical_vwap_v2,2/3,2/3,-0.027988879941858117,-0.02839889912794387,-1.0,-1.0
kunquant_alpha101_alpha094,kunquant_alpha101_alpha094_canonical_vwap_v2,2/3,2/3,0.043911050558529285,0.0443971747902632,1.0,1.0
kunquant_alpha101_alpha096,kunquant_alpha101_alpha096_canonical_vwap_v2,0/3,0/3,-0.001232360094332192,-0.0012136104225683251,-1.0,-1.0
kunquant_alpha101_alpha098,kunquant_alpha101_alpha098_canonical_vwap_v2,0/3,0/3,-0.003832422561468469,-0.00383233912889422,-1.0,-1.0
