factor,direction_instability,regime_concentrated,low_sample_coverage,by_sensitivity_not_significant,warnings,secondary_universe_status,microcap_exposure_status,turnover_status,numeric_duplicate_clustering_status,auxiliary_10d_status
alpha158_BETA10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_BETA20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_BETA30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_BETA5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_BETA60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTD10,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTD20,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTD30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTD5,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTD60,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
