left_source,right_source,left_rows,right_rows,aligned_rows,left_only_rows,right_only_rows,close_match_rate,close_median_relative_difference,close_maximum_relative_difference,volume_match_rate,volume_median_relative_difference,volume_maximum_relative_difference,amount_match_rate,amount_median_relative_difference,amount_maximum_relative_difference
tushare_daily:600000.SH,baostock:600000.SH,6285,6403,6285,0,118,1.0,0.0,0.0,0.9998408910103421,0.0,0.00010381790339744089,1.0,0.0,3.248204868433659e-07
tushare_daily:600000.SH,community_qlib_sample,6285,37489,6285,0,31204,1.0,3.130466779759785e-08,1.39562114474771e-07,1.0,3.1952738457527226e-08,8.795237906387966e-07,1.0,2.340605250558047e-08,1.3307643290895984e-07
tushare_daily:000001.SZ,baostock:000001.SZ,6242,6403,6242,0,161,0.9975969240628004,0.0,0.001654715940430289,1.0,0.0,3.1835721148469556e-05,1.0,2.5320055229913485e-10,7.713065445167171e-06
tushare_daily:000001.SZ,community_qlib_sample,6242,37489,6242,0,31247,1.0,3.076368860106349e-08,1.4627956210863905e-07,1.0,3.230384222134663e-08,4.216601309346372e-07,1.0,2.4849513551456113e-08,1.1158584532364638e-07
tushare_daily:600519.SH,baostock:600519.SH,5936,6010,5936,0,74,1.0,0.0,0.0,0.9998315363881402,0.0,0.05216771282626737,0.9998315363881402,0.0,0.051979368775143454
tushare_daily:600519.SH,community_qlib_sample,5936,37489,5936,0,31553,1.0,2.686544329014135e-08,1.3528747207241478e-07,1.0,0.0,1.1677695601401324e-05,1.0,2.1864139788739608e-08,1.0956414299417603e-07
tushare_daily:000858.SZ,baostock:000858.SZ,6267,6403,6267,0,136,0.9972873783309398,0.0,0.001901140684410606,0.9985639061752034,0.0,0.00015363343063450608,0.9998404340194671,1.4223438201462594e-10,0.0058245816726729275
tushare_daily:000858.SZ,community_qlib_sample,6267,37489,6267,0,31222,1.0,3.1027595196348754e-08,1.5079715136281133e-07,1.0,3.0152885380862e-08,2.331113447299091e-06,1.0,2.4185789489717397e-08,1.13528791420493e-07
tushare_daily:000002.SZ,baostock:000002.SZ,6190,6403,6190,0,213,0.9987075928917609,0.0,0.0026737967914437933,1.0,0.0,4.203570888751155e-05,1.0,2.205638792376392e-10,1.5220925992346877e-05
tushare_daily:000002.SZ,community_qlib_sample,6190,37489,6190,0,31299,1.0,2.9628828362447957e-08,1.3154130234156123e-07,1.0,3.2016224607614266e-08,1.9673357216963868e-07,1.0,2.5127662735102053e-08,1.138503221126765e-07
tushare_daily:600036.SH,baostock:600036.SH,5793,5867,5793,0,74,1.0,0.0,0.0,0.9998273778698429,0.0,0.19956745299515088,0.9998273778698429,0.0,0.19875312347421228
tushare_daily:600036.SH,community_qlib_sample,5793,37489,5793,0,31696,1.0,2.997797371175496e-08,1.6056909458203907e-07,1.0,3.3771151421829975e-08,4.288621637005866e-07,1.0,2.3865804105764574e-08,1.1406191162303508e-07
baostock:600000.SH,community_qlib_sample,6403,37489,6403,0,31086,1.0,3.130466779759785e-08,1.39562114474771e-07,0.9998408910103421,3.4345546976190565e-08,0.00010382868267358858,1.0,2.3133708858202486e-08,3.6303479356032835e-07
baostock:000001.SZ,community_qlib_sample,6403,37489,6403,0,31086,0.9975969240628004,3.088823604330724e-08,0.0016519739903183698,1.0,3.58210232708277e-08,3.183673469387755e-05,1.0,2.484669832220589e-08,7.713124937004597e-06
baostock:600519.SH,community_qlib_sample,6010,37489,6010,0,31479,1.0,2.686544329014135e-08,1.3528747207241478e-07,0.9998315363881402,0.0,0.04958117626147044,0.9998315363881402,2.1680412010054994e-08,0.049411015384897686
baostock:000858.SZ,community_qlib_sample,6403,37489,6403,0,31086,0.9972873783309398,3.107696446213381e-08,0.0019047619047618642,0.9985639061752034,3.3279482693071585e-08,0.00015360983102918587,0.9998404340194671,2.4380755378940802e-08,0.005858792691313343
baostock:000002.SZ,community_qlib_sample,6403,37489,6403,0,31086,0.9987075928917609,2.982306723795974e-08,0.0026666666666666098,1.0,3.44083478624871e-08,4.2037475962613476e-05,1.0,2.5053345996359043e-08,1.5221157672461329e-05
baostock:600036.SH,community_qlib_sample,5867,37489,5867,0,31622,1.0,2.997797371175496e-08,1.6056909458203907e-07,0.9998273778698429,3.396091750444854e-08,0.16636617848947066,0.9998273778698429,2.3852167952167773e-08,0.1657999024945332
