rows,instruments,earliest_report_end,earliest_available_date,update_flag_one_rows,duplicate_report_keys,availability_before_report_end,api,ts_code,row_cap_reached
123,1,1996-12-31,1999-11-06,28,30,0,income,600000.SH,True
100,1,2010-09-30,2010-10-29,41,72,0,balancesheet,600000.SH,True
93,1,2005-12-31,2006-03-02,14,20,0,cashflow,600000.SH,False
100,1,2012-09-30,2012-10-31,0,88,0,fina_indicator,600000.SH,True
123,1,1997-12-31,1998-03-12,31,30,0,income,000001.SZ,True
100,1,2010-06-30,2010-08-25,46,70,0,balancesheet,000001.SZ,True
100,1,2008-09-30,2008-10-24,34,56,0,cashflow,000001.SZ,True
100,1,2012-09-30,2012-10-26,0,88,0,fina_indicator,000001.SZ,True
119,1,1998-12-31,2001-07-26,32,32,0,income,600519.SH,True
100,1,2009-03-31,2009-04-21,32,60,0,balancesheet,600519.SH,True
98,1,2005-12-31,2006-04-05,32,30,0,cashflow,600519.SH,False
100,1,2012-12-31,2013-03-29,0,90,0,fina_indicator,600519.SH,True
128,1,1995-12-31,1998-03-25,32,33,0,income,000858.SZ,True
100,1,2009-12-31,2010-03-19,34,66,0,balancesheet,000858.SZ,True
97,1,2005-12-31,2006-04-08,31,28,0,cashflow,000858.SZ,False
100,1,2012-12-31,2013-04-02,0,90,0,fina_indicator,000858.SZ,True
122,1,1997-12-31,1998-04-08,32,32,0,income,000002.SZ,True
100,1,2009-06-30,2009-08-04,35,62,0,balancesheet,000002.SZ,True
100,1,2005-12-31,2006-03-21,33,34,0,cashflow,000002.SZ,True
100,1,2012-09-30,2012-10-24,0,88,0,fina_indicator,000002.SZ,True
116,1,1999-12-31,2002-03-19,26,30,0,income,600036.SH,True
100,1,2010-03-31,2010-04-29,44,68,0,balancesheet,600036.SH,True
91,1,2005-12-31,2006-04-12,14,16,0,cashflow,600036.SH,False
100,1,2012-12-31,2013-03-29,0,90,0,fina_indicator,600036.SH,True
