outer_split_id,factor,stability_role,correctness_pass,data_qualified,eligibility_reason,exclusion_semantics
split_001,alpha360_CLOSE10,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_001,alpha360_CLOSE20,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_001,alpha360_CLOSE5,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_001,alpha360_HIGH0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_001,alpha360_LOW0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_001,alpha360_OPEN0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_002,alpha360_CLOSE10,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_002,alpha360_CLOSE5,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_002,alpha360_HIGH0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_002,alpha360_LOW0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_003,alpha360_CLOSE5,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_003,alpha360_HIGH0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_003,alpha360_LOW0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_003,alpha360_OPEN0,stable_core,True,False,quality_duplicate_pass,frozen_data_eligibility
split_003,ta_trend_psar_down,stable_core,True,False,quality_missing_rate_pass;quality_finite_samples_pass,frozen_data_eligibility
